ven_d,model_d,tac_d
yezz,andy 6el lte am6el137,35609907
huawei,e5577 e5577bs932,86141203
diadem hk technology co ltd,mw5056,86105803
alcatel,585 585f 585a,35688804
asus,zenfone live zb501kl x00fd3,35425908
panasonic,eluga i7,35517310
panasonic,eluga i7,35627709
huawei,ascend p7 sophial06,86493802
alcatel,a3 a579vl,35719108
asus,zenfone 3 ze552kl z012de,35964807
lenovo,vibe k5 plus a6020137,86006903
lenovo,ideaphone k900,86048602
vivo,x6 plus l,86896502
huawei,honor 7i lte dual shotx athal00,86937202
micromax,x801 dual,91152115
zte,blade a610 ba610t,86243003
zte,blade a610 ba610t,86023003
philips,xenium x2300,86826701
lg,v10 h901,35401707
gionee,s5l gbl7523b,86077503
huawei,mate 10 pro blal09,86621803
lg,optimus pro c660 c660,35818704
lyf,earth 2 ls5021,91150525
dexp,larus e4,86330401
huawei,mediapad m2 100 m2a01l,86820402
lg,prada 30 p940h,35190205
lg,x power 2 m320yk,35712508
myphone,venum,35470107
intex,aqua turbo 4g,91146725
blu,grand m2,35421609
huawei,honor 8x max areal002,86419004
panasonic,eluga i,35594106
samsung,galaxy tab 4 80 lte smt335,35166606
fly,ds105c tinno b1020,86225501
fly,ds105c tinno b1020,86599001
huawei,g9 plus mlaul00,86100703
leagoo,z5 lte,35247808
lg,stylus 2 dual k520d,35838707
lenovo,a560s820a316ia316,86417902
iball,andi 4u frisbee,91139860
lenovo,s680,86439701
samsung,galaxy s7 edge us cellular smg935r41,35615907
bq mobile,aquaris m55 32gb ram 3gb,35440007
samsung,galaxy mega 63 4g shve310l,35641805
samsung,galaxy s blaze 4g sght769,35919604
lg,k5 lgx220g,35624107
huawei,e3531s e3531s3e8231s3,86255302
samsung,smv101k,35298706
shenzhen uhans technology co limited,uhans s1,35229008
meizu,m712h,99001091
meizu,m712h,86688303
blu,dash l2 lte,35169708
fly,power plus 1 fs521,35912708
lg,l50 sporty d213cj,35496306
zte,blade e01,86126603
blackberry,porsche design p9983 sqk1002 rha111lw,35857305
huawei,honor 5x lte dual kiil23,86923702
huawei,honor 5x lte dual kiil23,86924102
wiko global sasu,wiko ridge,35807406
samsung,galaxy a70 sma705n1,35600510
meizu,m809h,86787303
meizu,m809h,99001161
intex,aqua q5,91144815
lenovo,moto x force dual xt1581,35412107
lg,optimus f7 lgas780,99000258
qmobile,b45,35385906
motorola,moto g7 play dual xt19521,35950209
motorola,moto g7 play dual xt19521,35950109
huawei,me936,86259502
sony ericsson,xperia play r800i z1i,35730204
xolo,q1011,91137475
htc,desire 626 0pm91102,35871806
huawei,honor 8 64gb frdl14,86077303
xiaomi,mi 3c mi 2s c 2013021 2013063,86464402
doogee,s50,35603909
htc,desire 326g,35911606
acer,liquid e2 duo v370,35533805
lg,optimus l1 ii e410j,35803305
huawei,e5372 e5372s22,86255702
nokia,asha 503 rm959,35959305
huawei,enjoy 9 plus jkmal00a1,86036204
wiko,pulp,35479807
lava,iris alfa l,91143835
intex,cloud crystal 25 d,91149400
lg,k8 2017 lgx240ar,35465108
allview,m8 join,35417207
lg,g pro lite dual d686,35338106
lg,g pro lite dual d686,35900405
gigabyte,gsmart classic lite,35553507
sony ericsson,xperia ion lt28i,35226705
asus,zenfone 2 ze551ml z00ad4,35999906
blackberry,z10 rfg81uw,35703305
asus,fonepad 8 fe380cg k016,35503406
asus,fonepad 8 fe380cg k016,35599806
spice,m6200,91110515
spice,m6200,91110850
ramos,mos1 max,86873502
lava,z90,91159625
lava,z90,35667409
samsung,galaxy note 4 smn910k,35488806
vivo,y33l,86766602
telit,he910nag v2,35636905
myphone,hammer energy,35478808
htc,one e8 dual 0paj220,35868006
intex,aqua r3 plus,91148300
blu,life mark,35749307
huawei,mediapad t3 10 usa agsl03,86427303
blu,studio x mini,35884707
huawei,himini e369,86841400
huawei,honor 5a camal001,86423303
huawei,honor 10 lite hryal00a,86069404
huawei,honor 10 lite hryal00a,86151904
micromax,canvas a100,91123380
samsung,galaxy j3 2017 dual smj330mt,35780608
samsung,galaxy j3 2017 dual smj330mt,35780508
htc,one e9s 2pnl100,35947906
panasonic,eluga mark 2,35466208
lg,g3 d855ar,35415106
samsung,galaxy a40 sma405fn,35565110
huawei,honor 4a lte dual scll21,86754002
huawei,honor 4a lte dual scll21,86071203
gigabyte,gsmart classic pro,35729407
intex,aqua desire,91142695
alcatel,a7 5090y,35810508
xiaomi,redmi note 4g b6 2016051,86373103
lg,max x150g prime ii bello ii,35151907
wiko,slide 2,35588907
zte,blade a910,86074203
zte,blade a910,86393203
goclever,quantum 2 500 lite,35529407
sony,xperia x compact f5321 pm0970bv,35263108
doogee,valencia 2 y100 plus,35715707
gionee,pioneer p5w p5w2,86910202
gionee,pioneer p5w p5w2,86085603
highscreen,easy l,35555808
karbonn,titanium machone s310,91143080
alcatel,pixi 3 50 dual 5015d,35211407
htc,one x9 2ps5200,35383107
samsung,galaxy j3 2017 dual smj3308,35820208
samsung,galaxy j3 2017 dual smj3308,35820108
blu,life x8,35293507
iball,andi4f arc3,91146180
freetel,samurai rei ftj161b,35842007
zte,mf901,86166203
homtom,ht3,35836707
alcatel,one touch pop s3 5050y,86264102
huawei,p30 lite marlx2m2,86227604
htc,one dual 801t,35586905
samsung,galaxy j5 2016 lte dual smj510gnds1,35312208
samsung,galaxy j5 2016 lte dual smj510gnds1,35312308
huawei,honor 9 dual stfl14,86476203
allview,x4 soul lite,35907608
htc,u11 2pzc100,35849208
htc,u11 2pzc100,35612408
intex,aqua i2,91135395
hisense,l675,86056703
microsoft,lumia 950 dual rm1118,35185107
blackview,bv9000,35568109
panasonic,p90,35597109
highscreen,pure f,35259007
micromax,bolt a089,91135460
archos,access 45 4g,35192409
huawei,mediapad 10 link s10231l,86441602
huawei,p10 vtrl09,86678403
huawei,p10 vtrl09,86554503
blu,studio 70 ii s490l s490u,35386207
onda,n221i,35962504
lenovo,ideatab a2207a,86273402
lenovo,ideatab a2207a,86652301
blu,life one x l132l l132u,35192506
sony,xperia e4g e2006,35960506
lg,x cam dual k580dsk,35900207
blu,studio x 6,35923207
explay,n1 tinno s6030s6031s8313,86225602
karbonn,titanium dazzle s201,91143690
lyf,water 6 ls5006,91155190
lg,optimus vu ii f200k,35396405
4good,a103 light,35607808
doogee,leo dg280,35622507
huawei,enjoy 8e youth dratl00,86816503
huawei,enjoy 8e youth dratl00,86711204
philips,xenium w8500,86892401
nokia,ta1085,35695309
huawei,honor magic ntsal00,86233703
intex,aqua t5,91139980
alcatel,a3 5046y,35515108
huawei,e5330 e5330bs6,86454202
micromax,bolt q331,91144550
tplink,neffos c5l tp601a tp601d,86878802
tplink,neffos c5l tp601a tp601d,86942302
lg,l65 d280g,35372406
videocon,infinium zest pro,91142880
karbonn,kchamp,91136150
xiaomi,redmi note 3 h3z 20156172,86041003
motorola,moto e5 play xt19215,99000544
gionee,p5w,86688403
zte,mf285s,86750902
lg,optimus gk f220k,35654605
samsung,galaxy pocket 2 smg110m,35472606
nokia,8 dual ta10042,35602708
homtom,s8,35314509
asus,nexus 7 4g k0093,35845105
philips,e1500,86840401
huawei,nova 3 paral002,86728104
cubot,h2,35467407
megafon,login 2 ms3a,86332702
motorola,moto z3 play xt19293,99001110
karbonn,k595 dual,91149440
micromax,x2420,91140060
sony,xperia e1 dual d2114,35315306
sony,xperia e1 dual d2114,35280706
lg,g pad 101 4g lte verizon vk700,35657806
lava,iris fuel 20,91142060
blu,studio touch,35570408
blu,studio touch,35215208
hisense,c1 c1m,86856002
lg,nexus 5x h798,35436007
samsung,galaxy note 4g sc05d,35175805
huawei,mediapad t1 70 bgol03,86313803
micromax,ninja a50,91120875
lg,stylo 3 l83bl,35423508
sony,xperia z3 tdlte l55t,35518006
yezz,andy az45,35581506
yezz,andy 5e lte ac5el191,35612807
nokia,lumia 1520 rm939,35834305
yezz,andy 55m lte vr am55mlvr194,35752207
doro,phoneeasy 510,35856104
bq mobile,aquaris e5 fhd,35414006
acer,liquid z200 dual,35180806
acer,liquid z200 dual,35245306
sierra wireless,airprime mc7710,35817804
bq mobile,aquaris e50 4g 4gb,35888806
asus,zenfone 5 ze620kl x00qd,35516309
micromax,canvas fire a093,91136800
micromax,canvas fire a093,91141955
intex,cloud breeze,91149970
qmobile,b600,35413106
spice,smart flo 359 mi359,91144060
archos,diamond plus,35524507
lenovo,vibe x2 x2cu,86537602
nokia,801t,86990199
lenovo,moto g4 dual xt1622,35412307
lenovo,moto g4 dual xt1622,35819007
lenovo,s580 multiple a680,86536502
blu,vivo x,35529809
karbonn,a35 smart a35,91134270
asus,zenfone go zb500kl x00adc,35902207
asus,zenfone go zb500kl x00adc,35905307
huawei,y3 2017 mt6737m dual crol23,86255603
blu,life pro l210a l210i,35177805
huawei,me906s1582,86658202
lg,g flex att d950,35300506
fly,ff177,35750207
fly,ff177,35242107
lg,optimus hub e510 e510g,35938404
fly,diamond iq444,86063902
fly,diamond iq444,86161000
huawei,y5 prime 2018 dral32,86932903
samsung,galaxyschi535schi545schr530schr890schr970schs968smn900smt217sphl520sphl600sphl710sphl720schi435schi670smw705vsmt217s,99000435
lg,g flex hong kong  asia d958,35993805
sony,xperia c4 dual e5363,35219607
zte,a910,35698100
huawei,mediapad x1 70 7d501u,86011101
micromax,x264,91134495
micromax,x264,91132745
xiaomi,mi 2s mi 3 20130122013062,86500202
allview,x4 soul mini,35764008
doogee,t5 lite,35463308
huawei,y5 prime 2018 dralx1,86816703
samsung,galaxy s10 plus dual smg975u1ds,35485210
samsung,galaxy s10 plus dual smg975u1ds,35485110
lg,g stylo h634,35956506
karbonn,a29 smart a29,91132230
fly,ff248,35337309
tplink,neffos c5 tp701c,86975702
motorola,moto e 2nd gen xt1505,35335006
meizu,pro 6 m570m m570q,86222403
meizu,pro 6 m570m m570q,86901502
freetel,priori 2 lte ft151a,35919806
asus,zenfone 4 ze554kl z01kd z01kda,35768008
asus,zenfone 4 ze554kl z01kd z01kda,35768108
karbonn,quattro l51 hd,91149585
alcatel,one touch pop c9 7047x,86512402
explay,power,86486201
allview,p8 emagic,35977907
fly,stratus 6 fs407,86359403
fly,stratus 6 fs407,35244608
lg,x power dual k220dsf,35894007
lg,x power dual k220dsf,35801608
acer,iconia tab b1711,35575605
sony,xperia z2 tablet lte sot21,35396506
asus,zenfone selfie zd551kl z00uda,35217607
huawei,ea360135,86549102
asus,zenfone 3s max zc521tl x00gd2,35528808
htc,10 lifestyle 2ps63002,35488207
acer,liquid x2 e800 emea,35948106
huawei,honor 8a jatal001,86367004
lava,iris x5 4g,91145505
myphone,magnus,35480808
sony,xperia m2 d2305,35325706
huawei,g7210,35696104
asus,zenfone live zb501kl x00fd1,35425708
samsung,galaxy a7 2016 dual sma717fds,35867907
samsung,galaxy a7 2016 dual sma717fds,35868007
sony,xperia z2a d6563,35487006
lenovo,moto g4 play dual xt1602,35822107
lg,t585,35740806
lg,t585,35797905
iball,andi 55h weber,91148180
sierra wireless,airprime mc7305,35351505
zte,blade s6 lite,86688302
motorola,moto g7 power dual xt195551,35953309
huawei,honor 6x blnal30,86622703
huawei,honor 6x blnal30,86464603
zte,nova 4 v8000 memphis,86673601
vivo,y22,86501302
spice,stellar pinnacle pro mi535,91131330
asus,zenfone 4 max zc520kl x00hd2,35841008
htc,desire 728g 2pq8300,35158307
htc,desire 728g 2pq8300,35187907
xiaomi,mi note dual 2014616,86943602
xiaomi,mi note dual 2014616,86799302
doogee,s55 lite,35228110
motorola,moto z2 force xt178901,35331008
motorola,moto z3 play xt19294,35188609
oppo,a59st,86649003
oppo,a59st,86588503
wileyfox,swift 2,35349808
fly,evo chic 4 iq4512,35612006
coolpad,8077,86863201
videocon,v1442 multiv1442,91060370
zte,avail roamer,86858000
blu,dash jr k d141k,35467306
intex,aqua a1,91142405
huawei,ascend d2 d22010,86641501
meizu,m2 m578m1,86935002
meizu,m2 m578m1,86890402
alcatel,pop 10 p360x,35644106
lenovo,a269i,86502202
panasonic,kxtu321,35359005
bq mobile,dublin bqm1818,35658706
prestigio,grace x3 psp3455 duo,35852106
samsung,saga duos schi779,35213205
alcatel,117,86920200
yezz,andy 4ei,35797006
htc,desire 826 0phc200,35606306
blu,studio m hd,35778307
lg,l50 sporty d225,35456506
explay,t400,86227202
motorola,moto g6 dual xt1925dl,35185109
huawei,honor 8a jatlx3,86744504
prestigio,coolpad 7260,86141001
prestigio,coolpad 7260,86490301
lg,l20 dual d105,35481906
huawei,honor 8c bkkl22,86885404
samsung,galaxy note 5 tdlte smn920p,99000700
lg,g5 h831,35774307
samsung,galaxy ace 3 lte gts7275l,35774305
motorola,moto g6 plus dual xt19265,35185509
motorola,moto g6 plus dual xt19265,35553809
lava,iris 400q,91139265
xiaomi,redmi note 4g dual 20149101,99000639
coolpad,7290,86632401
huawei,p9 plus dual vieal103,86329503
lenovo,moto c dual xt17541,35563108
lenovo,moto c dual xt17541,35563008
lg,optimus 3d p920,35711604
xiaomi,mi note dual 20146191,99000662
videocon,v1571,91142245
alcatel,1 5033t,35626709
blu,neo energy mini,35910407
allview,a7 lite,35504607
blackberry,priv stv1001,35162307
huawei,mediapad x2 gem703l,86042303
lava,a76 plus,91152870
samsung,galaxy a5 2017 sma520fds2,35208109
lg,k8 2017 lgx240f,35374408
nokia,lumia 526 rm997,35898705
samsung,galaxy m pro 2 gtb7810l,35335805
iball,24 sumog,91143120
zte,blade a520,86747003
alcatel,flash plus 7054t,35915806
asus,zenfone 2 laser 50 ze500kl z00edb,35909606
zte,mf710,86085001
lava,a72,91151135
qmobile,z5,35456006
intex,aqua dream ii,91145200
samsung,galaxy j2 2016 dual smj210f1,35260309
samsung,galaxy j2 2016 dual smj210f1,35260409
samsung,galaxy j5 lte dual smj500gds3,35266507
samsung,galaxy j5 lte dual smj500gds3,35266607
lg,optimus f3 vm720w,35358906
lg,l35 d150j,35393406
samsung,gear s3 frontier smr765h,35706508
texet,xalpha tm3521,35783605
samsung,z1 duos smz130h,35544106
samsung,z1 duos smz130h,35544206
intex,aqua s3,91157970
xiaomi,hongmi 1s cdma2000 redmi 1s cdma2000,99000567
xiaomi,hongmi 1s cdma2000 redmi 1s cdma2000,86582502
lg,stylo 3 l84vl,35423308
motorola,moto g7 play dual xt1952t,35413510
alcatel,a7 xl dual 7070d 7071d,35998108
alcatel,a7 xl dual 7070d 7071d,35295808
philips,xenium x128,86641600
huawei,ascend w1 w1u34,35542304
blu,grand 55 hd,35184508
panasonic,toughpad fzx1,99000826
micromax,bolt d200,91142525
micromax,bolt d200,91147745
htc,one sc t528d,35357005
lg,stylus 3 dual m400dy,35654708
huawei,gr5 2017 dual blll22,86249403
huawei,gr5 2017 dual blll22,86406903
motorola,moto g5s dual xt1795,35957408
motorola,moto g5s dual xt1795,35189508
huawei,p30 elel29,86132904
lenovo,ideatab s2110a s210,86386801
acer,liquid z4 duo z1603,35382806
blu,advance 40 m,35481908
beetel,gd418,91112145
hyundai,uno l505,35679607
tplink,neffos y5 tp802a,86153603
oppo,neo 3 r831k,35513804
sony,xperia x perfomance f8131 pm0940bv,35809507
karbonn,titanium s7,91135290
micromax,bolt a075,91135620
karbonn,k375,91138005
infocus,m310,35987605
bliss,s5,35528705
huawei,mediapad m1 80 s8303ly,86611702
infinix,zero x506,35585906
micromax,x849,91144975
jiayu,g1,86241201
huawei,honor 7a aumal00,86769803
huawei,honor 7a aumal00,86667604
blu,win jr lte x130q,35153007
dns,s4004 xiaxin n816,86905001
lg,v20 sprint ls9971,35996907
xiaomi,redmi 2 lte hongmi 2 lte hm 2ltect 2014812,86604202
xiaomi,redmi 2 lte hongmi 2 lte hm 2ltect 2014812,86761402
sony,xperia z5 501so pm0904bv,35367407
lenovo,tab s8 s850l s850lc,86567702
coolpad,8021,86532302
samsung,smg9198,35155207
samsung,smg9198,35155107
doov,s2l,86455302
motorola,w380,35506401
samsung,galaxy j2 core dual smj260yds,35906409
samsung,galaxy j2 core dual smj260yds,35906309
asus,zenfone zoom zx551ml z00xsc,35222907
yu,yureka note yu6000,91145625
samsung,galaxy young gts6310l,35584905
coolpad,8670w00,86483602
doro,phoneeasy 610,35681504
xolo,era 2x,91154170
xolo,era 2x,91154175
kazam,life c5,35402706
huawei,gr3 2017 dual digl22,86299403
lg,l20 dual d105g,35624606
motorola,moto x4 europe xt19007,35651608
lenovo,vibe s1 s1c58,86709302
sony,xperia z2 tablet lte sgp521,35294506
alcatel,one touch pop c9 7047e,86435602
htc,desire 320 0pf1100,35503606
beeline,smart 5,35458807
samsung,galaxy a7 2016 duos sma710yds3,35602407
samsung,galaxy a7 2016 duos sma710yds3,35602307
sony,xperia xa f3113 pm0922bv,35812607
iball,andi 55h weber 4g,91151015
samsung,galaxy s iii 4g dual shve210s,35236905
samsung,galaxy s iii 4g dual shve210s,35237005
alcatel,3l 5039y,35331910
htc,one a9s 2pwd200,35172608
lava,z25,91155535
samsung,galaxy j7 2016 smj7109,35242506
myphone,qsmart black edition,35930608
alcatel,one touch idol ultra 6033x,86952801
philips,t129,86191201
alcatel,one touch idol 2 dual ot 6037d,86419202
alcatel,997d dual,86514701
nokia,1 dual ta1047,35693309
micromax,canvas blaze 4g q414,91146870
ulefone,armor x,35819209
htc,desire 600 po49100,35721005
htc,desire 600 po49100,35720905
huawei,boulder u83503,86808000
zopo,focus zp720,35845006
motorola,moto x style xt1572,35236207
alcatel,a3 dual 5046i,35515308
lg,connect 4g ms840,99000073
prestigio,multiphone 5453 duo,35492106
samsung,galaxy tab s2 97 ltea smt815no,35157207
blackview,bv9500,35961509
prestigio,wize l3 psp3403duo,35971907
prestigio,wize l3 psp3403duo,35315008
xiaomi,redmi 6 m1804c3dh,86867203
xiaomi,redmi 6 m1804c3dh,86457004
lg,f70 f370s,35243406
zopo,zp990 captain s,35777405
samsung,galaxy grand 2 ltea smg710l,35962605
samsung,galaxy core 2 smg355w,35489206
panasonic,eluga ray max,35802708
panasonic,p101,35703709
huawei,mediapad m5 84 shtal09,86712703
samsung,k1 kingsing k1,35546205
philips,xenium x818,86666903
lg,g6 lgmg600k,35540308
zen,admire thrill,91155680
asus,zenfone go zb500kl,35872107
micromax,x071 dual,91149850
lg,g4 beat lte g4s h735t,35315407
htc,10 2ps6100,35488007
qmobile,a8i,35455806
coolpad,8670hd,86484302
huawei,mediapad m5 10 pro cmral19,86703003
panasonic,t31,35829308
panasonic,t31,35733805
lg,l20 d100j,35641906
coolpad,cool m7,99000790
kazam,tornado 348,35657606
blu,energy xl,35157108
samsung,galaxy s7 edge sprint smg935p1,35271508
intex,cloud string v20,91152845
lg,l5000 f590l,35489307
xolo,q700s,91135305
htc,desire 610 d610t,35270806
htc,desire 610 d610t,35343406
zte,mf253 plus,86117503
philips,e310 e311,86663502
blu,c5 c010q,35183610
blu,c5 c010q,35290809
micromax,bolt d306,91147400
lexand,mini lph1 kenxinda m66,86619902
lexand,mini lph1 kenxinda m66,86470401
xolo,q3000,91135105
samsung,galaxy grand neo plus schi879e,35908405
gionee,f103 7325,86906002
gionee,f103 7325,86786502
nokia,215 rm1111,35648306
leagoo,kiicaa mix,35220909
doogee,bl5000,35195709
intex,aqua extreme,91141570
micromax,canvas xl a119,91134575
spice,coolpad 2 mi496,91132005
alcatel,pixi 4 50 dual 5045i,35166608
alcatel,pixi 4 35 dual 4017e,35639107
htc,desire 516 dual d516d,35248706
bocoin,m11,35522606
bocoin,m11,35734405
huawei,ascend mate 2 mt2l03,86275402
xiaomi,mi note 20146161,86598202
coolpad,8295m,86119402
samsung,galaxy y duos gts6102k,35157205
samsung,galaxy y duos gts6102k,35157105
samsung,galaxy trend plus gts7583t,35252006
samsung,galaxy note pro 122 3g smp902,35212406
samsung,galaxy s8 active smg892u1,35261609
asus,zenfone go zb552kl x007da x007db,35846207
asus,zenfone go zb552kl x007da x007db,35839307
gionee,elife e7 e7,86265202
micromax,canvas selfie a255,91139225
micromax,bolt q338,91145770
samsung,galaxy note 3 lite 4g smn7509v,35220806
huawei,b199,86504202
huawei,b199,35893801
samsung,wise 2 shwa330,35218505
haier,w850,86759001
samsung,galaxy s ii gti9188,35787504
sony,xperia xz2 pm1114bv h8216,35468309
htc,one e8 0paj100,35433906
micromax,x267,91137860
alcatel,idol 4 dual 6055i,35613207
samsung,galaxy s5 gpe smg900fg,35390306
blu,vivo one,35624709
xolo,q1000s,91132985
lava,iris x1 grand,91142485
bq mobile,aquaris m5 16gb ram 2gb,35954306
bq mobile,aquaris m5 16gb ram 2gb,35910507
blu,vivo one plus,35665209
fly,ezzy 8,35750407
huawei,mediapad t3 10 agsl092,86835503
prestigio,muze e3 psp3531 duo,35537107
zte,blade x7 t660,86813502
lenovo,a5100,86759302
samsung,galaxyschi200schr970smn900sphl520sphl600sphl710sphl720schi545schr960smg730vschi435,99000437
niu,niutek 35d,35616206
huawei,sonic u8650,86658200
lg,optimus l4 ii e440j,35733605
samsung,galaxy wide 2 smj727u,35716208
karbonn,a8,91133105
karbonn,a8,91142065
micromax,bolt q324,91145850
micromax,bolt q324,91142285
huawei,e5578 e5578s932,86616602
lenovo,phab 2 dual pb2650n,86998702
panasonic,p31,35723205
yezz,z51 zm51003,35455907
htc,deluxe butterfly x920e,35476505
cubot,j3 pro,35790909
zte,c501,86481303
alcatel,1s 5024d,35513110
motorola,moto e 2nd gen 4g lte xt1521,35546306
coolpad,7005,86209801
allview,a5 quad plus,35438407
samsung,galaxy s9 smg960f1,35979409
allview,p6 lite,35769207
lenovo,a356,86899901
bq mobile,aquaris m5 16gb ram 3gb,35384207
karbonn,titanium s99,91141345
lg,optimus f7 lg870,99000250
nokia,ta1099,35338409
lg,optimus link dual p698,35870004
lg,optimus link dual p698,35859304
lg,l50 sporty dual tv d221c,35567106
xiaomi,redmi note 3,86598002
xiaomi,redmi 4a 2016116,86676203
spice,dream uno 498 mi498,91140125
sharp,sh07f,35658605
zte,blade a515,86171303
xolo,q600,91131965
videocon,infinium z40 lite plus,91144750
allview,p5 energy,35417407
zte,blade iii v889m,86717801
huawei,p30 lite marlx3a1,86751104
asus,zenfone selfie zd551kl dual z00ud2,35999307
huawei,p8 max dav703l dav713l,86696002
huawei,p8 max dav703l dav713l,86012403
alcatel,one touch idol 2 mini l 6014a,86633402
yezz,andy 35 ei3 am35e3i079 am35e3i083,35349907
videocon,infinium z30 aire,91145995
fly,nimbus 8 fs454,86227703
kazam,thunder 340r,35554706
huawei,honor 7c lndal301,86722903
blu,advance 45,35938705
sony,xperia xa1 plus g3423 pm1073bv,35990808
motorola,xt806 qilin,86200198
alcatel,a3 xl dual 9008i,35498508
blu,studio xl d850q,35426707
xolo,q2000,91133780
archos,core 55 4g,35832408
huawei,ascend gx1 premium edition tdlte sctl10,86804002
motorola,moto g7 plus xt1965t,35413310
jiayu,g5,86122302
lg,g4 ds1402,35776206
xolo,8x1000,91138760
iball,andi 5q cobalt solus,91140455
huawei,nova 4e marlx21,86020504
fly,era life 6 iq4503,35636606
fly,era life 6 iq4503,35644506
asus,zenfone 2 laser 55 ze550kl z00ld6,35940707
lenovo,tab 2 a1070 a7600,86630302
fly,era nano 2 iq239,86837402
huawei,honor 7x bndtl101,86637703
lg,optimus pad lte lu8300,35161405
xolo,q600 club,91141240
huawei,gr5 2017 blll21,86249603
xolo,q710s,91140485
huawei,ec5377u872,86403502
lenovo,a3690,86720802
micromax,x605 dual,91152090
lg,k8 2017 lgx240h,35389208
lenovo,a316i,86509502
lenovo,a316i,86649702
samsung,galaxy j5 3g dual smj500hds2,35181107
samsung,galaxy j5 3g dual smj500hds2,35181207
panasonic,kxtu311,35732404
xiaomi,redmi 6 pro m1805d1sh,86903903
zte,v811 v811c ad6b1z kis 3 smart 2,86465002
sony,xperia z3 l55u,35510006
leeco,le 2 x527,86994502
fujitsu,f07f docomo,35527605
samsung,galaxy tab e 80 smt3777,35626707
prestigio,multiphone 5550 duo,35777506
coolpad,8920,86064302
alcatel,one touch idol x dual 6040d,86086202
coolpad,max a8,86057103
lg,g pad 80 p490k,35541406
karbonn,wind w4,91142565
blu,advance 40 l2,35373908
blu,advance 40 l2,35901207
huawei,y6 ii caml211,86110203
blu,advance 40 l3,35710908
prestigio,multiphone 3350 duo,35968805
intex,aqua trend,91146830
xiaomi,mi 6x m1804d2sc,86870703
samsung,galaxy s5 active smg870w,35430806
allview,viva i7g,35418307
nokia,3011 rm841,35552405
kyocera,torque,99000420
zte,spro 22,86098503
lg,k10 lte k430n,35712807
lg,g2 l01f,35724505
qmobile,b55,35413306
asus,zenfone 3 max zc520tl x008db,35314608
zte,blade a510,86119503
zte,blade a510,86952002
lenovo,a760,86022702
htc,desire 826 0phc210,35353007
huawei,mate 10 alpal002,86018704
huawei,honor 3c play dual holu10,86555502
htc,one sv pl80130,35502605
meizu,m2 note m571c1,99000740
asus,live l1 za550kl1 x00rd,35628909
karbonn,alfa a114 alfa 114 quad,91151150
micromax,canvas doodle a111,91130720
archos,45b neon,35992007
apple,iphone 6 plus a15241,35668208
oppo,a39,86188103
philips,w736,86731301
alcatel,1c 2019 5003d,35221910
irulu,universe u2 obee a603q,86318102
intex,aqua life,91142855
lg,l40 triple d180f,35358006
alcatel,1x 5059d,35445509
huawei,ascend g7 y545u05,86558402
infocus,m808i,35287307
lenovo,vibe p1 dual p1a42,86736302
lenovo,vibe p1 dual p1a42,86102603
xiaomi,redmi note 6 pro m1806e7te,86893503
philips,s398,86858002
lava,iris atom x,91155215
lava,iris atom x,91147430
bq mobile,7059g,35873205
oneplus,two dual a2005,86929002
xiaomi,2016111,99001127
motorola,motosmart mix xt553,35191705
xolo,x1000,91130045
alcatel,916d,86430601
asus,zenfone 3 ze520kl z017d,35897307
samsung,galaxy a8 2018 sma530w,35406109
intex,aqua a4,91157350
micromax,bolt a064,91142140
micromax,bolt a064,91137030
spice,m6430,91114385
motorola,razr v mt887,35191505
huawei,e5573 e5573cs323,86220403
panasonic,eluga ray 550,35627609
coolpad,8712,86675902
bq mobile,aquaris m45 16gb 1gb ram,35384007
htc,u11 2pzc5001,99000723
micromax,x3020,91140205
micromax,canvas duet ae90,91133820
huawei,ascend p2 p26011,86104600
lg,max x165g prime ii bello ii,35152107
ruggear,rg730 dual,86223703
blu,studio j8,35233509
allview,p9 energy lite,35450908
intex,aqua lions t1 lite,91161245
lenovo,vibe p1 pro p1c58 p1c72,86735602
lenovo,vibe p1 pro p1c58 p1c72,86746802
intex,aqua zenith,91152805
micromax,bolt a28,91133980
htc,one m8 eye m8ew,35615306
huaqin,a230,86033102
huawei,mediapad t3 80 bzkl00,86482803
huawei,y5 y560cl00,86808202
huawei,mate 20 hmal09,86942603
oneplus,one e1005,86805102
karbonn,titanium s15,91143425
lg,band play f570s,35960706
sony,xperia xa dual f3112 pm0921bv,35812807
motorola,moto x 2nd gen x112360445,35928305
huawei,honor 7a aumtl20,86638504
huawei,honor 7a aumtl20,86768403
lg,watch urbane 2 w200l,35649307
beeline,e700,86869601
lg,k7 2017 dual lgx230t,35546508
intex,aqua sense 50,91145955
samsung,galaxy tab 89 4g dual shve140l,35963804
samsung,galaxy tab 89 4g dual shve140l,35881404
motorola,one dual xt19412,35954609
motorola,one dual xt19412,35554309
oppo,find 7a x9006,35612004
samsung,galaxy s7 smg930w8,35911808
zte,warp elite n9518,99000679
samsung,smv101m,35211506
kazam,life c4,35275906
zte,q7,86621002
xiaomi,mi a2 lite m1805e2c,86870903
cubot,s200,35633906
asus,zenfone live zb501kl a0071,35608908
hyundai,titan 5k,35878507
coolpad,5880,86502301
samsung,galaxy feel sc04j sghn4171,35524608
lg,g pad f 80 lte v495,35816906
blu,studio x plus d770u d770l,35939706
blu,studio j1,35150109
prestigio,multipad consul 7008 4g,35874206
huawei,e303 lte e303h1 e303fh1,86616802
lg,su880,35869804
oppo,r7c dual,86823902
htc,u11 life 2q3f300,35877308
